id,onoma,long,lat
184,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΕΛΟΠΙΟΥ,21.594364,37.676214
185,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΥΡΓΟΥ,21.437116,37.675261
186,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.744296,38.227943
187,3ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΡΙΝΙΟΥ,21.404703,38.619215
188,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.752326,38.259682
189,7ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.721803,38.225895
190,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΙΓΙΟΥ,22.085717,38.243692
191,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΙΓΙΟΥ,22.076995,38.24914
192,8ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.740156,38.21596
193,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΒΡΑΧΝΕΙΚΩΝ ΠΑΤΡΑΣ,21.670538,38.16074
194,"3ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΥΡΓΟΥ ""PIERRE DE COUBERTIN""",21.446174,37.668548
195,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΓΑΣΤΟΥΝΗΣ,21.247124,37.847231
196,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΥΡΓΟΥ,21.431099,37.673528
197,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΜΑΛΙΑΔΑΣ,21.346878,37.787958
198,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΝΑΙΤΩΛΙΟΥ,21.44683,38.579507
199,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΡΕΣΤΕΝΩΝ,21.622652,37.593503
200,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΚΡΑΤΑΣ,22.315972,38.152904
201,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΚΑΛΑΒΡΥΤΩΝ,22.112588,38.029761
202,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ΠΕΙΡΑΜΑΤΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΠΑΤΡΑΣ,21.752156,38.25976
203,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΗΘΥΜΝΑΣ ΛΕΣΒΟΥ,26.1777,39.366841
204,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΓΑΒΑΛΟΥΣ,21.537019,38.527227
205,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,21.431147,38.378126
206,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΛΕΧΑΙΝΩΝ,21.26249,37.937023
207,1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΡΙΝΙΟΥ,21.417835,38.627214
208,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΡΑΛΙΑΣ ΠΑΤΡΑΣ,21.719281,38.223562
209,11ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.739475,38.250301
210,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΓΡΙΝΙΟΥ,21.389408,38.635321
211,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΝΔΡΑΒΙΔΑΣ,21.270202,37.90619
212,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΒΑΡΘΟΛΟΜΙΟΥ,21.207899,37.860054
213,2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΜΕΣΟΛΟΓΓΙΟΥ,21.431147,38.378126
214,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ΜΟΥΣΙΚΟ,21.755971,38.220257
215,12ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ,21.738701,38.221092
216,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ΕΚΚΛΗΣΙΑΣΤΙΚΟ,21.737675,38.248338
217,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΑΤΡΑΣ ΠΕΙΡΑΜΑΤΙΚΟ,21.744214,38.228176
218,ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΔΕΜΕΝΙΚΩΝ,,
