level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423704010205,"Στεφάνη,η",40,4,4,0,0,6,3,4,0,0,0,0,3,3,6,0,7
7,24237040103,Δημοτική Κοινότητα Ελληνικού,133,10,5,3,5,7,8,9,4,3,9,12,9,14,11,3,22
8,2423704010301,"Ελληνικόν,το",38,0,3,3,0,0,0,3,0,3,0,3,5,6,0,0,8
8,2423704010302,"Αγία Ελεούσα,η",27,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,6
8,2423704010303,"Βαλματούρα,η",4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3
8,2423704010304,"Κανελλάκι,το",15,3,0,4,4,0,0,4,0,0,3,5,3,0,0,0,0
8,2423704010305,"Κούμαρης,ο",3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0
8,2423704010306,"Νεοχώριον,το",25,5,6,0,3,5,5,4,0,0,0,0,3,0,4,0,0
8,2423704010307,"Χρυσαυγή,η",13,0,0,0,0,3,3,4,0,0,0,0,3,3,0,0,0
7,24237040104,Δημοτική Κοινότητα Ισώματος,160,7,8,8,12,6,9,5,12,12,13,9,9,7,11,9,20
8,2423704010401,"Ίσωμα,το",160,7,8,8,12,6,9,5,12,12,13,9,9,7,11,9,20
7,24237040105,Δημοτική Κοινότητα Καλανίστρας,56,3,5,0,0,4,5,5,4,3,0,3,4,3,4,0,10
8,2423704010501,"Καλανίστρα,η",31,0,3,0,0,3,3,3,0,3,0,3,0,3,3,0,9
8,2423704010502,"Ροδιά,η",27,3,0,0,3,3,0,0,3,0,0,3,0,0,0,0,3
7,24237040106,Δημοτική Κοινότητα Καλάνου,49,3,4,3,0,0,3,0,0,5,0,0,3,0,5,4,7
8,2423704010601,"Κάλανος,ο",49,3,4,3,0,0,3,0,0,5,0,0,3,0,5,4,7
7,24237040107,Δημοτική Κοινότητα Καλουσίου,71,0,3,0,8,5,3,5,0,3,7,4,3,0,4,0,19
8,2423704010701,"Καλούσιον,το",71,0,3,0,8,5,3,5,0,3,7,4,3,0,4,0,19
7,24237040108,Δημοτική Κοινότητα Καταρράκτου,37,0,0,0,0,0,3,5,0,0,0,4,5,7,0,0,4
8,2423704010801,"Καταρράκτης,ο",37,0,0,0,0,0,3,5,0,0,0,4,5,7,0,0,4
7,24237040109,Δημοτική Κοινότητα Κριθαρακίων,65,0,3,4,3,5,0,4,0,3,7,9,4,5,0,5,16
8,2423704010901,"Κριθαράκια,τα",37,0,0,4,3,4,4,0,0,3,4,5,0,6,0,0,9
8,2423704010902,"Αστέριον,το",25,0,3,0,0,3,0,4,0,0,5,3,3,0,0,5,9
7,24237040110,Δημοτική Κοινότητα Λακκωμάτων,29,0,3,0,3,3,0,0,0,0,3,5,3,0,3,0,4
8,2423704011001,"Λακκώματα,τα",29,0,3,0,3,3,0,0,0,0,3,5,3,0,3,0,4
8,2423704011002,"Τσαπουρνιά,η",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237040111,Δημοτική Κοινότητα Μιραλίου,38,0,4,0,0,0,0,0,0,3,3,6,0,4,0,6,10
8,2423704011101,"Μιράλιον,το",38,0,4,0,0,0,0,0,0,3,3,6,0,4,0,6,10
7,24237040112,Δημοτική Κοινότητα Νέου Κομπηγαδίου,43,0,0,0,5,3,3,0,0,4,0,3,3,3,4,3,12
8,2423704011201,"Νέον Κομπηγάδιον,το",34,0,0,0,3,0,3,0,0,4,0,3,0,3,4,3,9
8,2423704011202,"Μίχας,ο",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423704011203,"Πλάτανος,ο",13,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5
7,24237040113,Δημοτική Κοινότητα Πλατανόβρυσης,174,7,8,13,14,7,11,5,11,13,9,8,19,13,9,13,26
8,2423704011301,"Πλατανόβρυση,η",85,5,0,5,0,3,5,4,4,4,0,5,11,10,3,10,15
8,2423704011302,"Αγία Παρασκευή,η",13,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,3
8,2423704011303,"Κάτω Πλατανόβρυση,η",56,3,4,3,5,0,3,3,4,6,6,0,4,6,3,3,7
8,2423704011304,"Κοίμησις,η",24,0,0,0,7,0,3,0,0,0,3,0,8,0,0,0,3
7,24237040114,Δημοτική Κοινότητα Σταροχωρίου,178,7,17,12,7,7,7,9,14,13,19,4,8,8,7,6,32
8,2423704011401,"Άνω Σταροχώρι,το",37,5,0,4,0,0,0,4,0,0,6,3,3,3,3,6,4
8,2423704011402,"Δαφνούλα,η",100,3,10,10,5,3,7,3,10,13,7,5,8,0,9,3,15
8,2423704011403,"Κάτω Σταροχώρι,το",33,3,4,0,0,0,0,0,3,0,0,0,3,4,4,0,8
8,2423704011404,"Τρούσας,ο",4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
7,24237040115,Δημοτική Κοινότητα Φαρών,239,12,12,21,15,6,17,13,15,17,20,18,12,14,12,13,29
8,2423704011501,"Φαραί,αι",227,12,12,21,14,6,12,12,13,17,20,18,12,13,9,10,28
