level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
7,24237050308,Δημοτική Κοινότητα Καστρίων,51,3,3,0,0,0,3,0,0,5,3,3,3,7,3,7,9
8,2423705030801,"Καστρία,τα",51,3,3,0,0,0,3,0,0,5,3,3,3,7,3,7,9
7,24237050309,Δημοτική Κοινότητα Κλείτορος,24,3,0,0,0,0,0,4,0,0,0,4,0,3,0,3,10
8,2423705030901,"Κλείτωρ,ο",24,3,0,0,0,0,0,4,0,0,0,4,0,3,0,3,10
7,24237050310,Δημοτική Κοινότητα Κρινοφύτων,65,3,3,3,0,3,5,0,0,0,3,5,3,7,4,9,13
8,2423705031001,"Κρινόφυτα,τα",65,3,3,3,0,3,5,0,0,0,3,5,3,7,4,9,13
7,24237050311,Δημοτική Κοινότητα Λευκασίου,45,3,4,4,0,0,0,0,3,4,5,3,6,4,3,6,8
8,2423705031101,"Λευκάσιον,το",45,3,4,4,0,0,0,0,3,4,5,3,6,4,3,6,8
7,24237050312,Δημοτική Κοινότητα Λυκουρίας,167,6,7,3,3,10,14,0,13,9,8,10,19,17,15,7,22
8,2423705031201,"Λυκουρία,η",163,6,7,3,3,10,11,0,9,9,8,10,19,14,15,7,18
8,2423705031202,"Κερασιά,η",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237050313,Δημοτική Κοινότητα Παγκρατίου,47,0,0,0,0,0,0,6,0,0,3,3,4,5,10,5,15
8,2423705031301,"Παγκράτιον,το",30,0,0,0,0,0,0,6,0,0,4,0,0,0,4,3,12
8,2423705031302,"Παγκραταίικα Καλύβια,τα",10,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
8,2423705031303,"Σελλά,τα",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8,2423705031304,"Στενόν,το",3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
7,24237050314,Δημοτική Κοινότητα Πλανητέρου,78,5,3,4,0,3,3,0,4,4,4,7,0,7,7,9,12
8,2423705031401,"Πλανητέρον,το",78,5,3,4,0,3,3,0,4,4,4,7,0,7,7,9,12
7,24237050315,Δημοτική Κοινότητα Τουρλάδας,17,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,8
8,2423705031501,"Τουρλάδα,η",17,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,8
7,24237050316,Δημοτική Κοινότητα Φιλίων,77,3,0,3,0,0,6,0,6,3,4,5,3,11,5,7,25
8,2423705031601,"Φίλια,τα",50,3,0,0,0,0,3,0,0,3,4,0,3,7,0,8,16
8,2423705031602,"Άγιοι Θεόδωροι,οι",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,2423705031603,"Ζευγολατιόν,το",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,2423705031604,"Καλύβια,τα",22,0,0,3,0,0,3,0,0,5,0,4,0,7,3,0,7
8,2423705031605,"Μονή Αγίου Αθανασίου,η",4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
6,242370504,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΪΩΝ,515,13,19,11,20,22,13,29,22,20,26,32,36,42,46,53,114
7,24237050401,Δημοτική Κοινότητα Δάφνης,248,8,8,5,5,6,9,18,13,7,10,13,14,23,29,27,51
8,2423705040101,"Δάφνη,η",248,8,8,5,5,6,9,18,13,7,10,13,14,23,29,27,51
7,24237050402,Δημοτική Κοινότητα Αμυγδαλέας,19,3,0,4,0,0,3,0,0,0,0,3,0,0,0,0,8
8,2423705040201,"Αμυγδαλέα,η",19,3,0,4,0,0,3,0,0,0,0,3,0,0,0,0,8
7,24237050403,Δημοτική Κοινότητα Νασίων,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
8,2423705040301,"Νάσια,τα",8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
7,24237050404,Δημοτική Κοινότητα Πάου,127,7,3,3,9,11,4,0,4,6,8,7,12,12,12,6,25
8,2423705040401,"Πάος,ο",3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
8,2423705040402,"Βεσίνιον,το",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,2423705040403,"Δεχουναίικα,τα",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,2423705040404,"Παλαιός Πάος,ο",108,6,3,0,9,10,4,4,4,3,8,4,9,9,8,6,20
8,2423705040405,"Ποταμιά,η",9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,24237050405,Δημοτική Κοινότητα Πεύκου,30,4,0,0,0,0,0,0,4,0,0,0,0,3,3,0,12
8,2423705040501,"Πεύκον,το",30,4,0,0,0,0,0,0,4,0,0,0,0,3,3,0,12
7,24237050406,Δημοτική Κοινότητα Σκοτάνης,48,0,5,0,3,3,0,4,5,4,3,3,3,3,3,3,13
8,2423705040601,"Σκοτάνη,η",17,0,0,0,0,0,0,3,3,3,0,0,3,0,0,5,3
8,2423705040602,"Άγιος Γεώργιος,ο",27,0,5,0,3,3,0,0,0,4,0,3,0,3,0,0,6
7,24237050407,Δημοτική Κοινότητα Χόβολης,35,0,0,0,0,3,0,0,0,4,3,5,3,3,0,3,13
8,2423705040701,"Κάτω Χόβολη,η",37,0,0,0,0,3,0,0,0,4,3,5,3,3,0,3,13
8,2423705040702,"Άνω Χόβολη,η",3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
