level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
7,24237050119,Δημοτική Κοινότητα Λαγοβουνίου,54,4,0,0,0,3,3,0,3,0,0,3,6,3,4,3,21
8,2423705011901,"Λαγοβούνιον,το",54,4,0,0,0,3,3,0,3,0,0,3,6,3,4,3,21
7,24237050120,Δημοτική Κοινότητα Λαπαναγών,11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4
8,2423705012001,"Λαπαναγοί,οι",11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4
7,24237050121,Δημοτική Κοινότητα Μανεσίου Καλαβρύτων,179,3,0,7,7,9,12,6,7,8,10,11,16,13,24,19,30
8,2423705012101,"Μανέσιον,το",148,3,0,7,7,9,13,6,7,8,7,11,18,11,18,12,23
8,2423705012102,"Μπούμπουκας,ο",29,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,9
7,24237050122,Δημοτική Κοινότητα Μικρού Ποντιά,236,3,12,8,25,13,9,12,10,10,18,18,13,20,26,16,28
8,2423705012201,"Μικρός Ποντιάς,ο",78,0,3,0,5,0,3,5,4,4,7,7,3,9,9,5,14
8,2423705012202,"Καρούσιον,το",70,0,3,0,4,7,6,8,4,7,3,4,3,7,9,4,8
8,2423705012203,"Λομποκάς,ο",36,0,7,3,5,3,3,0,3,3,0,0,0,3,5,0,0
8,2423705012204,"Μέγας Ποντιάς,ο",50,0,0,4,9,0,0,5,3,3,9,4,3,4,5,3,8
7,24237050123,Δημοτική Κοινότητα Πετσάκων,137,0,11,6,7,8,10,12,11,3,17,10,14,8,12,6,11
8,2423705012301,"Πετσάκοι,οι",111,0,5,3,7,6,10,8,8,3,10,10,9,8,10,6,8
8,2423705012302,"Μπόσι,το",23,0,9,3,0,0,0,3,0,0,4,0,0,0,0,0,4
7,24237050124,Δημοτική Κοινότητα Πλατανιωτίσσης,71,3,4,8,3,3,5,4,4,7,4,5,7,5,3,0,9
8,2423705012401,"Πλατανιώτισσα,η",65,3,4,8,3,3,6,3,4,7,4,5,3,5,3,0,8
8,2423705012402,"Δίγελα,η",9,0,0,4,0,0,3,0,3,0,0,0,0,0,0,0,5
